iter	RMSE
0	58829.81731
1	58746.77636
2	58703.5077
3	58665.34001
4	58616.90101
5	58597.51097
6	58576.98859
7	58557.876
8	58546.36609
9	58538.29815
10	58532.59734
11	58526.01694
12	58521.43975
13	58517.53236
14	58513.99257
15	58512.40362
16	58510.66133
17	58510.38697
18	58508.92957
19	58506.39461
20	58504.06192
21	58502.98354
22	58500.84476
23	58498.13221
24	58496.67152
25	58494.9844
26	58493.3019
27	58491.59034
28	58489.76555
29	58487.83406
30	58485.98875
31	58484.08398
32	58482.231
33	58480.37383
34	58478.54031
35	58476.7163
36	58474.90874
37	58473.11397
38	58471.33367
39	58469.56683
40	58467.81381
41	58466.07426
42	58464.34821
43	58462.63547
44	58460.93601
45	58459.24966
46	58457.57637
47	58455.916
48	58454.2685
49	58452.63371
50	58451.01159
51	58449.40199
52	58447.80486
53	58446.22007
54	58444.64755
55	58443.08718
56	58441.53889
57	58439.9763
58	58438.54217
59	58437.32017
60	58435.61214
61	58434.17566
62	58432.62372
63	58431.14777
64	58429.65141
65	58428.18257
66	58426.71714
67	58425.26703
68	58423.82615
69	58422.3974
70	58420.97923
71	58419.57226
72	58418.17607
73	58416.79073
74	58415.4161
75	58414.0521
76	58412.69866
77	58411.35569
78	58410.02312
79	58408.70085
80	58407.38883
81	58406.08695
82	58404.79516
83	58403.51335
84	58402.24148
85	58400.97944
86	58399.72718
87	58398.4846
88	58397.25165
89	58396.02823
90	58394.8143
91	58393.60974
92	58392.41453
93	58391.40221
94	58390.2171
95	58389.04005
96	58387.87267
97	58386.71406
98	58385.56454
99	58384.42386
100	58383.29204
101	58382.16898
102	58381.05461
103	58379.94887
104	58378.85169
105	58377.76301
106	58376.68275
107	58375.61087
108	58374.54727
109	58373.49193
110	58372.44474
111	58371.40567
112	58370.37464
113	58369.38613
114	58368.37796
115	58367.40359
116	58366.42143
117	58364.95522
118	58363.75546
119	58362.43742
120	58361.1911
121	58359.92081
122	58358.67419
123	58357.4273
124	58356.19204
125	58354.96238
126	58353.74127
127	58352.52716
128	58351.32076
129	58350.12164
130	58348.92995
131	58347.74556
132	58346.56845
133	58345.39857
134	58344.23588
135	58343.08033
136	58341.93188
137	58340.79049
138	58339.65611
139	58338.5287
140	58337.40822
141	58336.29462
142	58335.17089
143	58334.34746
144	58333.23858
145	58332.26894
146	58331.24249
147	58330.25641
148	58329.26182
149	58328.28302
150	58327.30777
151	58326.34208
152	58325.38287
153	58324.43159
154	58323.48743
155	58322.5507
156	58321.62118
157	58320.69887
158	58319.7837
159	58318.87562
160	58317.97458
161	58317.08051
162	58316.19338
163	58315.29716
164	58314.27928
165	58313.20069
166	58312.08636
167	58311.00017
168	58309.91003
169	58308.83191
170	58307.75775
171	58306.69153
172	58305.63119
173	58304.5777
174	58303.53052
175	58302.48986
176	58301.45555
177	58300.42762
178	58299.406
179	58298.39066
180	58297.38156
181	58296.37866
182	58295.38193
183	58294.39132
184	58293.40681
185	58292.42834
186	58291.45589
187	58290.48941
188	58289.52888
189	58288.57425
190	58287.62549
191	58286.68256
192	58285.74543
193	58284.81406
194	58283.88842
195	58282.96846
196	58282.05417
197	58281.14549
198	58280.2424
199	58279.34486
200	58278.45284
201	58277.5663
202	58276.68522
203	58275.80955
204	58274.93927
205	58274.07434
206	58273.21472
207	58272.3604
208	58271.51132
209	58270.66747
210	58269.81634
211	58268.93025
212	58268.07193
213	58267.20984
214	58266.3705
215	58265.52419
216	58264.69371
217	58263.86018
218	58263.03587
219	58262.21458
220	58261.39936
221	58260.58864
222	58259.78317
223	58258.98252
224	58258.199
225	58257.39731
226	58256.61039
227	58255.82339
228	58255.0437
229	58254.26757
230	58253.49683
231	58252.73052
232	58251.96908
233	58251.21224
234	58250.4601
235	58249.71256
236	58248.96964
237	58248.23127
238	58247.50411
239	58246.86162
240	58245.89687
241	58245.11166
242	58244.24857
243	58243.4347
244	58242.60599
245	58241.79432
246	58240.98363
247	58240.18189
248	58239.38502
249	58238.59499
250	58237.81075
251	58237.03276
252	58236.2607
253	58235.49468
254	58234.73456
255	58233.98036
256	58233.23198
257	58232.48941
258	58231.75259
259	58231.02148
260	58230.29603
261	58229.57622
262	58228.86197
263	58228.15326
264	58227.45004
265	58226.75228
266	58226.05991
267	58225.37292
268	58224.69125
269	58224.01487
270	58223.34372
271	58222.67778
272	58222.01699
273	58221.36133
274	58220.71075
275	58220.06521
276	58219.42468
277	58218.78911
278	58218.15846
279	58217.55496
280	58216.9361
281	58216.30994
282	58215.6947
283	58215.08107
284	58214.49174
285	58213.83238
286	58213.068
287	58212.36391
288	58211.63662
289	58210.92764
290	58210.21611
291	58209.51242
292	58208.81133
293	58208.11542
294	58207.42335
295	58206.73576
296	58206.05229
297	58205.37308
298	58204.69802
299	58204.02713
300	58203.36036
301	58202.69769
302	58202.0391
303	58201.38456
304	58200.72069
305	58200.087
306	58199.51749
307	58198.82613
308	58198.20327
309	58197.5525
310	58196.92171
311	58196.28683
312	58195.65985
313	58195.03474
314	58194.41447
315	58193.79752
316	58193.18461
317	58192.57535
318	58191.9699
319	58191.36814
320	58190.7701
321	58190.17574
322	58189.58503
323	58188.99796
324	58188.4145
325	58187.83464
326	58187.25834
327	58186.68558
328	58186.11635
329	58185.55063
330	58184.98838
331	58184.4296
332	58183.87425
333	58183.32233
334	58182.7738
335	58182.22864
336	58181.68684
337	58181.14837
338	58180.61322
339	58180.08833
340	58179.43303
341	58178.85199
342	58178.24133
343	58177.6526
344	58177.05986
345	58176.476
346	58175.89453
347	58175.31864
348	58174.76995
349	58174.24626
350	58173.65361
351	58173.10268
352	58172.5376
353	58171.98615
354	58171.43435
355	58170.88915
356	58170.34702
357	58169.80967
358	58169.27619
359	58168.747
360	58168.22944
361	58167.67375
362	58167.09926
363	58166.5842
364	58165.96854
365	58165.5498
366	58165.05539
367	58164.63739
368	58164.24347
369	58163.6358
370	58163.14587
371	58162.60342
372	58162.09245
373	58161.57065
374	58161.05907
375	58160.54714
376	58160.04011
377	58159.53533
378	58159.03409
379	58158.53572
380	58158.04052
381	58157.54832
382	58157.05918
383	58156.57303
384	58156.08988
385	58155.6097
386	58155.13248
387	58154.6582
388	58154.18683
389	58153.71837
390	58153.25279
391	58152.79008
392	58152.33021
393	58151.87318
394	58151.41896
395	58150.96753
396	58150.51889
397	58150.073
398	58149.62986
399	58149.18945
400	58148.75175
401	58148.31674
402	58147.88442
403	58147.45475
404	58147.02773
405	58146.60334
406	58146.18156
407	58145.76237
408	58145.34577
409	58144.93173
410	58144.52024
411	58144.11129
412	58143.70485
413	58143.29084
414	58142.71801
415	58142.26899
416	58141.7972
417	58141.36052
418	58140.97517
419	58140.553
420	58140.13762
421	58139.7209
422	58139.33328
423	58138.93489
424	58138.54556
425	58138.15926
426	58137.78224
427	58137.4078
428	58137.01194
429	58136.63047
430	58136.2454
431	58135.86568
432	58135.48681
433	58135.11101
434	58134.73716
435	58134.3658
436	58133.99663
437	58133.62978
438	58133.26516
439	58132.90104
440	58132.55536
441	58132.21615
442	58131.7518
443	58131.44447
444	58130.79839
445	58130.34365
446	58129.80319
447	58129.31256
448	58128.80315
449	58128.30906
450	58127.81313
451	58127.32388
452	58126.837
453	58126.35462
454	58125.87561
455	58125.4005
456	58124.92898
457	58124.46117
458	58123.99695
459	58123.53635
460	58123.07931
461	58122.62582
462	58122.17585
463	58121.72936
464	58121.28634
465	58120.84675
466	58120.41057
467	58119.97778
468	58119.54833
469	58119.12222
470	58118.69941
471	58118.27989
472	58117.86361
473	58117.45056
474	58117.04072
475	58116.63405
476	58116.23054
477	58115.83015
478	58115.43287
479	58115.03868
480	58114.64753
481	58114.25943
482	58113.87433
483	58113.49222
484	58113.11307
485	58112.73686
486	58112.36357
487	58111.99317
488	58111.62565
489	58111.26098
490	58110.89913
491	58110.54009
492	58110.18383
493	58109.83035
494	58109.48915
495	58109.05909
496	58108.71733
497	58108.39579
498	58108.01409
499	58107.66651
500	58107.30535
501	58106.95432
502	58106.60151
503	58106.25284
504	58105.90534
505	58105.56047
506	58105.21748
507	58104.87672
508	58104.538
509	58104.20139
510	58103.86684
511	58103.53436
512	58103.20393
513	58102.87553
514	58102.54915
515	58102.22478
516	58101.90241
517	58101.58202
518	58101.26361
519	58100.94716
520	58100.63265
521	58100.32009
522	58100.00945
523	58099.70072
524	58099.39389
525	58099.08895
526	58098.78589
527	58098.4847
528	58098.18536
529	58097.88786
530	58097.59516
531	58097.25731
532	58096.90885
533	58096.61636
534	58096.23352
535	58095.90156
536	58095.54862
537	58095.2103
538	58094.86868
539	58094.53268
540	58094.1978
541	58093.86627
542	58093.53693
543	58093.21033
544	58092.88618
545	58092.56458
546	58092.24545
547	58091.92881
548	58091.61463
549	58091.30288
550	58090.99355
551	58090.68661
552	58090.38206
553	58090.07987
554	58089.7757
555	58089.51125
556	58089.23428
557	58088.8671
558	58088.65029
559	58088.3961
560	58088.01463
561	58087.72694
562	58087.41813
563	58087.14359
564	58086.85655
565	58086.6516
566	58086.39729
567	58086.1794
568	58085.84539
569	58085.57534
570	58085.27678
571	58084.99535
572	58084.70806
573	58084.42634
574	58084.14446
575	58083.86527
576	58083.58732
577	58083.31132
578	58083.0369
579	58082.76423
580	58082.49321
581	58082.22388
582	58081.95619
583	58081.69016
584	58081.42577
585	58081.163
586	58080.90185
587	58080.64231
588	58080.38437
589	58080.12802
590	58079.87325
591	58079.62004
592	58079.3684
593	58079.1183
594	58078.86975
595	58078.62273
596	58078.37722
597	58078.13323
598	58077.89075
599	58077.64975
600	58077.41025
601	58077.17221
602	58076.93564
603	58076.70053
604	58076.46687
605	58076.23465
606	58076.01639
607	58075.79383
608	58075.56058
609	58075.29665
610	58075.06714
611	58074.79916
612	58074.57444
613	58074.34319
614	58074.11889
615	58073.9059
616	58073.55035
617	58073.27882
618	58072.97006
619	58072.68371
620	58072.38965
621	58072.10285
622	58071.8158
623	58071.53221
624	58071.25021
625	58070.9707
626	58070.6932
627	58070.41794
628	58070.14477
629	58069.87373
630	58069.6048
631	58069.33795
632	58069.07317
633	58068.81044
634	58068.54976
635	58068.29109
636	58068.03443
637	58067.77976
638	58067.52707
639	58067.27634
640	58067.02755
641	58066.7807
642	58066.53576
643	58066.29271
644	58066.05156
645	58065.81227
646	58065.57484
647	58065.33925
648	58065.10549
649	58064.87354
650	58064.6434
651	58064.41503
652	58064.18844
653	58063.96361
654	58063.74052
655	58063.51445
656	58063.31284
657	58063.08247
658	58062.86931
659	58062.65016
660	58062.43655
661	58062.22269
662	58062.01144
663	58061.80743
664	58061.58479
665	58061.37689
666	58061.16751
667	58060.9613
668	58060.75592
669	58060.55252
670	58060.3505
671	58060.15015
672	58059.9513
673	58059.75402
674	58059.55638
675	58059.3673
676	58059.12877
677	58058.93322
678	58058.73275
679	58058.55025
680	58058.37342
681	58058.20229
682	58057.97166
683	58057.8031
684	58057.59568
685	58057.4105
686	58057.21658
687	58057.02928
688	58056.84088
689	58056.65523
690	58056.47037
691	58056.28727
692	58056.10543
693	58055.92508
694	58055.74609
695	58055.56851
696	58055.3923
697	58055.21746
698	58055.04397
699	58054.87183
700	58054.70102
701	58054.53154
702	58054.36338
703	58054.19652
704	58054.03095
705	58053.86667
706	58053.70366
707	58053.54192
708	58053.38144
709	58053.22219
710	58053.06552
711	58052.83343
712	58052.66986
713	58052.40258
714	58052.19253
715	58051.95678
716	58051.73619
717	58051.51016
718	58051.28893
719	58051.06736
720	58050.84801
721	58050.62959
722	58050.41272
723	58050.19708
724	58049.98283
725	58049.76986
726	58049.55823
727	58049.34788
728	58049.13884
729	58048.93109
730	58048.72461
731	58048.51941
732	58048.31547
733	58048.11278
734	58047.91135
735	58047.71115
736	58047.51219
737	58047.31446
738	58047.11794
739	58046.92263
740	58046.72853
741	58046.53562
742	58046.3439
743	58046.15337
744	58045.964
745	58045.7758
746	58045.58876
747	58045.40288
748	58045.21814
749	58045.03453
750	58044.85206
751	58044.67071
752	58044.49048
753	58044.31136
754	58044.13334
755	58043.95642
756	58043.78059
757	58043.60584
758	58043.43217
759	58043.25957
760	58043.08804
761	58042.92093
762	58042.75765
763	58042.60328
764	58042.4463
765	58042.29245
766	58042.13884
767	58041.9869
768	58041.8359
769	58041.68618
770	58041.53758
771	58041.39015
772	58041.24385
773	58041.0987
774	58040.95467
775	58040.81175
776	58040.66995
777	58040.52924
778	58040.38963
779	58040.2511
780	58040.12498
781	58039.98813
782	58039.85566
783	58039.71864
784	58039.54172
785	58039.39832
786	58039.23861
787	58039.0634
788	58038.89762
789	58038.72871
790	58038.56292
791	58038.39711
792	58038.23284
793	58038.06933
794	58037.90695
795	58037.74551
796	58037.5851
797	58037.42566
798	58037.2672
799	58037.10972
800	58036.95322
801	58036.79767
802	58036.64309
803	58036.49087
804	58036.34748
805	58036.21671
806	58036.05257
807	58035.90431
808	58035.77027
809	58035.56311
810	58035.41251
811	58035.28128
812	58035.15415
813	58035.03221
814	58034.86147
815	58034.71762
816	58034.56199
817	58034.41373
818	58034.26319
819	58034.11518
820	58033.96728
821	58033.82069
822	58033.6961
823	58033.57141
824	58033.4252
825	58033.28127
826	58033.14664
827	58033.0056
828	58032.85855
829	58032.71586
830	58032.57233
831	58032.43055
832	58032.28921
833	58032.14895
834	58032.00945
835	58031.87087
836	58031.73311
837	58031.59621
838	58031.46015
839	58031.32493
840	58031.19055
841	58031.05699
842	58030.92425
843	58030.79234
844	58030.66123
845	58030.53093
846	58030.40144
847	58030.27274
848	58030.14484
849	58030.01769
850	58029.89636
851	58029.75868
852	58029.67447
853	58029.57584
854	58029.46695
855	58029.31776
856	58029.19113
857	58029.05498
858	58028.92519
859	58028.79377
860	58028.66469
861	58028.53596
862	58028.40855
863	58028.28197
864	58028.15645
865	58028.03186
866	58027.90827
867	58027.78562
868	58027.66392
869	58027.54317
870	58027.42336
871	58027.30448
872	58027.18652
873	58027.06947
874	58026.95333
875	58026.83043
876	58026.71657
877	58026.57674
878	58026.46057
879	58026.34233
880	58026.25759
881	58026.13936
882	58026.01422
883	58025.88769
884	58025.77547
885	58025.64066
886	58025.5186
887	58025.3914
888	58025.26795
889	58025.14379
890	58025.02112
891	58024.89885
892	58024.77751
893	58024.65683
894	58024.53693
895	58024.41775
896	58024.29932
897	58024.18509
898	58024.07443
899	58023.95507
900	58023.83904
901	58023.72242
902	58023.60718
903	58023.49232
904	58023.37833
905	58023.26496
906	58023.15233
907	58023.0489
908	58022.92698
909	58022.81487
910	58022.7037
911	58022.59309
912	58022.48322
913	58022.37217
914	58022.25568
915	58022.15103
916	58022.05971
917	58021.95317
918	58021.84338
919	58021.73623
920	58021.62876
921	58021.52245
922	58021.41654
923	58021.31141
924	58021.20479
925	58021.12329
926	58021.02235
927	58020.94124
928	58020.85753
929	58020.7415
930	58020.64328
931	58020.53729
932	58020.43618
933	58020.33359
934	58020.23269
935	58020.13188
936	58020.03196
937	58019.93252
938	58019.83376
939	58019.73558
940	58019.63801
941	58019.54104
942	58019.44468
943	58019.3489
944	58019.25371
945	58019.15911
946	58019.0651
947	58018.97166
948	58018.8788
949	58018.78651
950	58018.69479
951	58018.60923
952	58018.49358
953	58018.4019
954	58018.30278
955	58018.20362
956	58018.11355
957	58018.03062
958	58017.94336
959	58017.87716
960	58017.79502
961	58017.7137
962	58017.61844
963	58017.53114
964	58017.44073
965	58017.35271
966	58017.26431
967	58017.17692
968	58017.08984
969	58017.00341
970	58016.91745
971	58016.83206
972	58016.74717
973	58016.66282
974	58016.58051
